date,price
1995-06-01,84.77
1995-07-01,88.17
1995-08-01,97.46
1995-09-01,98.18
1995-10-01,101.9
1995-11-01,101.66
1995-12-01,102.91
1996-01-01,106.92
1996-02-01,104.58
1996-03-01,106.49
1996-04-01,104.29
1996-05-01,108.37
1996-06-01,109.88
1996-07-01,107.13
1996-08-01,108.4
1996-09-01,111.45
1996-10-01,113.27
1996-11-01,113.44
1996-12-01,115.98
1997-01-01,122.13
1997-02-01,120.88
1997-03-01,123.97
1997-04-01,126.92
1997-05-01,116.43
1997-06-01,114.3
1997-07-01,117.74
1997-08-01,119.39
1997-09-01,121.44
1997-10-01,120.29
1997-11-01,127.66
1997-12-01,129.92
1998-01-01,127.34
1998-02-01,126.72
1998-03-01,133.39
1998-04-01,131.95
1998-05-01,138.72
1998-06-01,139.95
1998-07-01,143.79
1998-08-01,141.52
1998-09-01,135.72
1998-10-01,116.09
1998-11-01,123.83
1998-12-01,115.2
1999-01-01,115.98
1999-02-01,120.32
1999-03-01,119.99
1999-04-01,119.59
1999-05-01,121.37
1999-06-01,120.87
1999-07-01,115.27
1999-08-01,110.19
1999-09-01,105.66
1999-10-01,104.89
1999-11-01,102.42
1999-12-01,102.08
2000-01-01,106.9
2000-02-01,110.27
2000-03-01,105.29
2000-04-01,106.44
2000-05-01,107.3
2000-06-01,105.4
2000-07-01,109.52
2000-08-01,106.43
2000-09-01,107.75
2000-10-01,108.81
2000-11-01,111.07
2000-12-01,114.9
2001-01-01,116.38
2001-02-01,116.44
2001-03-01,125.27
2001-04-01,124.06
2001-05-01,119.06
2001-06-01,124.27
2001-07-01,124.79
2001-08-01,118.92
2001-09-01,119.29
2001-10-01,121.84
2001-11-01,123.98
2001-12-01,131.47
2002-01-01,132.94
2002-02-01,133.89
2002-03-01,132.71
2002-04-01,127.97
2002-05-01,123.96
2002-06-01,119.22
2002-07-01,119.82
2002-08-01,117.97
2002-09-01,121.79
2002-10-01,122.48
2002-11-01,122.44
2002-12-01,119.37
2003-01-01,119.21
2003-02-01,117.75
2003-03-01,119.02
2003-04-01,119.46
2003-05-01,118.63
2003-06-01,119.82
2003-07-01,120.11
2003-08-01,117.13
2003-09-01,110.48
2003-10-01,108.99
2003-11-01,109.34
2003-12-01,106.97
2004-01-01,105.88
2004-02-01,109.08
2004-03-01,103.95
2004-04-01,110.44
2004-05-01,109.56
