datetime,open,high,low,close,volume
2014-12-17,38117.83203125,39039.22265625,36989.390625,37979.796875,4461939483
2014-12-18,37980.86328125,38340.09765625,36075.828125,37037.44140625,4659236620
2014-12-19,37011.62890625,38061.5078125,36526.984375,37979.05859375,2846622219
2014-12-20,37952.29296875,39470.53515625,37764.09765625,39426.44140625,2492167083
2014-12-21,39377.09375,39387.3671875,38105.72265625,38347.15234375,1817612352
2014-12-22,38374.046875,39933.6640625,38297.1953125,39872.78125,2680936114
2014-12-23,39888.5234375,40610.015625,39572.015625,40369.45703125,1999842972
2014-12-24,40346.89453125,40393.1953125,38688.16796875,38826.640625,1816811074
2014-12-25,38796.7890625,38849.46875,38076.1640625,38402.18359375,1189792583
2014-12-26,38419.51953125,39896.82421875,38052.234375,39478.7734375,1975660095
2014-12-27,39437.71875,39597.59765625,37637.52734375,38026.74609375,1828146228
2014-12-28,38062.50390625,38528.171875,37450.6796875,38198.75,1405979406
2014-12-29,38254.375,38598.578125,37679.83984375,37717.3828125,1484050575
2014-12-30,37723.29296875,37921.890625,37013.3828125,37123.75,1496756001
2014-12-31,37144.89453125,38317.49609375,37122.94921875,38317.49609375,1668546843
2015-01-01,38346.45703125,38346.45703125,37645.8203125,37669.02734375,963341249
2015-01-02,37648.65234375,38008.0625,37652.88671875,37951.90625,946972506
2015-01-03,37929.5,37966.12109375,33861.94921875,33861.94921875,3982063568
2015-01-04,33869.65625,34602.59765625,31034.517578125,31806.4375,6697187349
2015-01-05,31913.46484375,33492.7734375,31900.2109375,32777.68359375,5250037576
2015-01-06,32794.04296875,34077.90625,32396.287109375,33959.1875,2758334762
2015-01-07,33945.89453125,35617.453125,33626.95703125,35105.57421875,2965863236
2015-01-08,35081.484375,35072.66015625,33705.80078125,33942.375,2393703675
2015-01-09,33826.66015625,34529.03125,33515.27734375,34413.34765625,2218154100
2015-01-10,34045.40625,34143.05078125,32464.970703125,32563.32421875,1808819550
2015-01-11,32541.048828125,33137.1015625,31332.91015625,31408.982421875,2151880584
2015-01-12,31466.44140625,32217.947265625,31617.14453125,31688.298828125,2234105899
2015-01-13,31640.734375,31721.07421875,25896.130859375,26608.68359375,8581740330
2015-01-14,26376.951171875,26376.951171875,20099.255859375,20914.634765625,11465713011
2015-01-15,20773.015625,26764.1875,20783.62890625,24364.986328125,9494721549
2015-01-16,24275.119140625,25828.646484375,23483.080078125,24474.2890625,4518693810
2015-01-17,24443.357421875,24901.68359375,22919.248046875,23434.96875,2760271417
2015-01-18,23527.880859375,25720.720703125,22875.849609375,24733.763671875,3537706909
2015-01-19,24866.875,25489.37890625,24274.86328125,25295.583984375,2196641659
2015-01-20,25065.541015625,25437.181640625,24337.30078125,25074.638671875,2853903526
2015-01-21,25082.11328125,26851.6484375,24792.064453125,26735.2734375,3526015618
2015-01-22,26785.3515625,27977.72265625,26732.798828125,27707.626953125,3982079466
2015-01-23,27720.802734375,27662.392578125,26660.955078125,27419.173828125,2898958958
2015-01-24,27398.09765625,29224.24609375,27082.791015625,29181.505859375,2917891550
2015-01-25,29123.224609375,30006.90625,28715.609375,29789.03125,3942944807
2015-01-26,29831.4140625,36556.8125,29884.771484375,32409.28515625,12656156940
2015-01-27,32373.01953125,32666.419921875,29609.638671875,31032.0859375,5229314220
2015-01-28,31017.482421875,31421.8125,26657.470703125,27501.38671875,5214488154
2015-01-29,27434.724609375,28172.08203125,26070.501953125,27615.248046875,3809556684
2015-01-30,27527.6171875,28612.705078125,26522.533203125,26591.3515625,3124514688
2015-01-31,26593.23046875,27422.708984375,25403.330078125,25538.97265625,2742012608
2015-02-01,25468.861328125,27082.580078125,24899.041015625,26598.849609375,3413568915
2015-02-02,26542.48046875,28474.9375,26175.791015625,28010.966796875,3599370718
2015-02-03,27919.83984375,28890.109375,26387.9765625,26738.080078125,4798202305
2015-02-04,26766.669921875,26997.306640625,25989.623046875,26607.587890625,3119245447
2015-02-05,26702.826171875,28127.693359375,25208.71484375,25510.541015625,2645677000
2015-02-06,25488.453125,27414.552734375,25366.17578125,26440.763671875,2906823288
2015-02-07,26484.421875,27396.369140625,26481.328125,27093.615234375,2570035632
2015-02-08,27086.359375,27293.9453125,26299.3203125,26572.623046875,2039250088
2015-02-09,26569.888671875,26579.3515625,25736.283203125,26100.64453125,3295492354
2015-02-10,26121.0390625,26483.755859375,25527.609375,26239.984375,2520298336
2015-02-11,26227.2109375,26683.61328125,26245.20703125,26343.845703125,2067496361
2015-02-12,26346.609375,26463.90234375,26163.73046875,26369.958984375,1808169242
2015-02-13,26394.333984375,28521.146484375,26316.90234375,27952.248046875,5075042612
